Month,Year,Total,"Men, 20 years and over","Women, 20 years and over",White,Black/AfricanAmerican,Asian,Hispanic/Latino
September,2000,3.9,3.3,3.5,3.5,7.3,0,5.8
October,2000,3.9,3.3,3.3,3.4,7.3,0,5.1
November,2000,3.9,3.4,3.4,3.5,7.3,0,6
December,2000,3.9,3.4,3.3,3.5,7.4,0,5.7
January,2001,4.2,3.6,3.6,3.6,8.2,0,5.8
February,2001,4.2,3.7,3.7,3.7,7.7,0,6.1
March,2001,4.3,3.8,3.6,3.7,8.3,0,6.2
April,2001,4.4,3.9,3.7,3.9,8,0,6.4
May,2001,4.3,3.9,3.8,3.8,7.9,0,6.3
June,2001,4.5,4,3.9,4,8.3,0,6.6
July,2001,4.6,4.1,3.9,4,8,0,6.2
August,2001,4.9,4.4,4.3,4.3,9.1,0,6.5
September,2001,5,4.3,4.4,4.3,8.9,0,6.7
October,2001,5.3,4.8,4.7,4.7,9.5,0,7.1
November,2001,5.5,5,4.8,4.9,9.8,0,7.3
December,2001,5.7,5.1,5.1,5.1,10.1,0,7.7
January,2002,5.7,5.2,4.9,5.1,10,0,7.8
February,2002,5.7,5.2,5,5,9.9,0,7
March,2002,5.7,5.2,5,5,10.5,0,7.5
April,2002,5.9,5.4,5.3,5.2,10.7,0,8
May,2002,5.8,5.2,5.2,5.1,10.2,0,7.1
June,2002,5.8,5.3,5.1,5.1,10.5,0,7.4
July,2002,5.8,5.3,5.1,5.2,9.8,0,7.4
August,2002,5.7,5.2,5,5.1,9.8,0,7.5
September,2002,5.7,5.2,4.9,5.1,9.7,0,7.4
October,2002,5.7,5.3,5.1,5.1,9.8,0,7.9
November,2002,5.9,5.5,5,5.1,10.7,0,7.8
December,2002,6,5.6,5.1,5.1,11.3,0,7.9
January,2003,5.8,5.6,4.9,5.2,10.5,5.5,7.9
February,2003,5.9,5.5,5.1,5.1,10.7,5.8,7.7
March,2003,5.9,5.4,5.1,5.1,10.3,6.5,7.8
April,2003,6,5.7,5.1,5.3,10.9,6,7.6
May,2003,6.1,5.8,5.2,5.4,10.9,5.5,8
June,2003,6.3,6,5.2,5.5,11.5,7.4,8.3
July,2003,6.2,5.9,5.1,5.4,10.9,5.9,8
August,2003,6.1,5.8,5.2,5.4,10.9,6,7.7
September,2003,6.1,5.7,5.3,5.3,11.1,6.4,7.3
October,2003,6,5.6,5.1,5.1,11.4,6.2,7.5
November,2003,5.8,5.6,5,5.2,10.2,5.2,7.4
December,2003,5.7,5.2,5.1,5,10.1,5.4,6.7
January,2004,5.7,5.2,5.1,5,10.4,5,7.3
February,2004,5.6,5.1,4.9,4.9,9.7,4.5,7.4
March,2004,5.8,5.2,5.3,5.1,10.3,4.3,7.6
April,2004,5.6,5.1,4.9,5,9.8,4.7,7.1
May,2004,5.6,5.2,4.8,4.9,10.1,4.6,6.9
June,2004,5.6,5.1,5,5,10.2,4.6,6.6
July,2004,5.5,5,4.8,4.7,11,3.9,6.8
August,2004,5.4,5,4.7,4.7,10.5,3.7,6.8
September,2004,5.4,5,4.6,4.6,10.3,4.5,6.8
October,2004,5.5,4.9,4.7,4.6,10.8,4.9,6.8
November,2004,5.4,4.9,4.7,4.6,10.7,4.1,6.7
December,2004,5.4,4.8,4.6,4.5,10.7,4.2,6.6
January,2005,5.3,4.7,4.7,4.5,10.6,4.1,6
February,2005,5.4,4.8,4.7,4.6,10.9,4.3,6.3
March,2005,5.2,4.6,4.6,4.5,10.5,3.9,5.8
April,2005,5.2,4.4,4.6,4.4,10.3,4.2,6.4
May,2005,5.1,4.3,4.7,4.4,10.1,4.2,6
June,2005,5,4.3,4.6,4.3,10.2,3.6,5.7
