Age,Year,Sex,UnemployMaletRates
16-17,2019,Male,13.1
18-19,2019,Male,14
20-24,2019,Male,7.2
25-34,2019,Male,3.8
35-44,2019,Male,2.4
45-54,2019,Male,2.7
55 and over,2019,Male,2.3
16-17,2019,Male,14.4
18-19,2019,Male,13.2
20-24,2019,Male,7.5
25-34,2019,Male,3.7
35-44,2019,Male,2.4
45-54,2019,Male,2.6
55 and over,2019,Male,2.4
16-17,2019,Male,14.1
18-19,2019,Male,13
20-24,2019,Male,7.3
25-34,2019,Male,3.7
35-44,2019,Male,2.6
45-54,2019,Male,2.2
55 and over,2019,Male,2.6
16-17,2020,Male,14.6
18-19,2020,Male,12.8
20-24,2020,Male,7.2
25-34,2020,Male,3.6
35-44,2020,Male,2.5
45-54,2020,Male,2.5
55 and over,2020,Male,2.2
16-17,2020,Male,14.4
18-19,2020,Male,12.9
20-24,2020,Male,6.8
25-34,2020,Male,3.9
35-44,2020,Male,2.6
45-54,2020,Male,2.5
55 and over,2020,Male,2.6
16-17,2020,Male,10.8
18-19,2020,Male,12
20-24,2020,Male,6.7
25-34,2020,Male,3.9
35-44,2020,Male,2.8
45-54,2020,Male,2.5
55 and over,2020,Male,2.7
16-17,2020,Male,14.8
18-19,2020,Male,13.4
20-24,2020,Male,9.1
25-34,2020,Male,4.2
35-44,2020,Male,3.2
45-54,2020,Male,3.1
55 and over,2020,Male,3.4
16-17,2020,Male,21
18-19,2020,Male,30.8
20-24,2020,Male,23.5
25-34,2020,Male,14.2
35-44,2020,Male,10.4
45-54,2020,Male,11.4
55 and over,2020,Male,12.1
16-17,2020,Male,27.8
18-19,2020,Male,29.1
20-24,2020,Male,22.4
25-34,2020,Male,13
35-44,2020,Male,9.5
45-54,2020,Male,9.2
55 and over,2020,Male,10.3
16-17,2020,Male,19
18-19,2020,Male,25.6
20-24,2020,Male,19
25-34,2020,Male,11.8
35-44,2020,Male,8.9
45-54,2020,Male,7.5
55 and over,2020,Male,8.9
16-17,2020,Male,24.2
18-19,2020,Male,21.5
20-24,2020,Male,17.8
25-34,2020,Male,11.7
35-44,2020,Male,7.9
45-54,2020,Male,6.7
55 and over,2020,Male,8
16-17,2020,Male,14.7
18-19,2020,Male,20.3
20-24,2020,Male,14.2
25-34,2020,Male,9.8
35-44,2020,Male,6.4
45-54,2020,Male,5.7
55 and over,2020,Male,7.3
16-17,2020,Male,19
18-19,2020,Male,16.1
20-24,2020,Male,12.8
25-34,2020,Male,8.7
35-44,2020,Male,6.1
45-54,2020,Male,6.1
55 and over,2020,Male,6.3
16-17,2019,Female,13.2
18-19,2019,Female,10.2
20-24,2019,Female,5.4
25-34,2019,Female,3.3
35-44,2019,Female,2.9
45-54,2019,Female,2.8
55 and over,2019,Female,2.6
16-17,2019,Female,13.6
18-19,2019,Female,9.4
20-24,2019,Female,4.8
25-34,2019,Female,3.7
35-44,2019,Female,2.9
45-54,2019,Female,2.7
55 and over,2019,Female,2.7
16-17,2019,Female,11.3
18-19,2019,Female,10.2
20-24,2019,Female,5.5
25-34,2019,Female,3.4
35-44,2019,Female,2.9
45-54,2019,Female,2.9
55 and over,2019,Female,2.6
16-17,2020,Female,12.9
18-19,2020,Female,11.3
20-24,2020,Female,5.5
25-34,2020,Female,3.5
35-44,2020,Female,3
45-54,2020,Female,2.7
55 and over,2020,Female,2.6
16-17,2020,Female,9.6
18-19,2020,Female,12.1
20-24,2020,Female,6.5
25-34,2020,Female,3.5
35-44,2020,Female,2.9
45-54,2020,Female,2.5
55 and over,2020,Female,2.4
16-17,2020,Female,8.9
18-19,2020,Female,12
20-24,2020,Female,6.1
25-34,2020,Female,3.4
35-44,2020,Female,2.8
45-54,2020,Female,2.6
55 and over,2020,Female,2.4
16-17,2020,Female,17.8
18-19,2020,Female,12.1
20-24,2020,Female,8.3
25-34,2020,Female,4
35-44,2020,Female,3.6
45-54,2020,Female,3.3
55 and over,2020,Female,3.3
16-17,2020,Female,32.9
18-19,2020,Female,38.9
20-24,2020,Female,28
25-34,2020,Female,14.9
35-44,2020,Female,12.7
45-54,2020,Female,13.3
55 and over,2020,Female,15.5
16-17,2020,Female,32
18-19,2020,Female,30.6
20-24,2020,Female,24
25-34,2020,Female,13.9
35-44,2020,Female,11
45-54,2020,Female,12.5
55 and over,2020,Female,13.6
16-17,2020,Female,27.8
18-19,2020,Female,19.4
20-24,2020,Female,20.6
25-34,2020,Female,11.6
35-44,2020,Female,9.4
45-54,2020,Female,9.3
55 and over,2020,Female,10.5
16-17,2020,Female,11.6
18-19,2020,Female,18
20-24,2020,Female,18.8
25-34,2020,Female,11.1
35-44,2020,Female,8.4
45-54,2020,Female,9
55 and over,2020,Female,9.6
16-17,2020,Female,13.3
18-19,2020,Female,14.8
20-24,2020,Female,14
25-34,2020,Female,9.5
35-44,2020,Female,6.6
45-54,2020,Female,6.8
55 and over,2020,Female,8
16-17,2020,Female,15.3
18-19,2020,Female,14.7
20-24,2020,Female,12.2
25-34,2020,Female,8.8
35-44,2020,Female,6.4
45-54,2020,Female,6.8
55 and over,2020,Female,7.2
