Industry,Year,Number of unemployed persons (in thousands),UnemploymentRates
"Mining, quarrying, and oil and gas extraction",2020,108,14.9
Construction,2020,700,7.1
Manufacturing,2020,935,6.2
Wholesale and retail trade,2020,"1,545",7.8
Transportation and utilities,2020,753,9.8
Information,2020,202,8.6
Financial activities,2020,442,4.4
Professional and business services,2020,"1,161",6.7
Education and health services,2020,"1,250",5.1
Leisure and hospitality,2020,"2,436",19
Other services,2020,566,9.2
