State,Year,UnemploymentRates
Alabama,2014,6.8
Alaska,2014,6.9
Arizona,2014,6.8
Arkansas,2014,6
California,2014,7.5
Colorado,2014,5
Connecticut,2014,6.6
Delaware,2014,5.7
Florida,2014,6.3
Georgia,2014,7.1
Hawaii,2014,4.4
Idaho,2014,4.8
Illinois,2014,7.1
Indiana,2014,6
Iowa,2014,4.2
Kansas,2014,4.5
Kentucky,2014,6.5
Louisiana,2014,6.4
Maine,2014,5.6
Maryland,2014,5.8
Massachusetts,2014,5.7
Michigan,2014,7.2
Minnesota,2014,4.2
Mississippi,2014,7.5
Missouri,2014,6.1
Montana,2014,4.7
Nebraska,2014,3.3
Nevada,2014,7.9
New Hampshire,2014,4.3
New Jersey,2014,6.8
New Mexico,2014,6.7
New York,2014,6.3
North Carolina,2014,6.3
North Dakota,2014,2.7
Ohio,2014,5.8
Oklahoma,2014,4.5
Oregon,2014,6.8
Pennsylvania,2014,5.9
Rhode Island,2014,7.7
South Carolina,2014,6.5
South Dakota,2014,3.4
Tennessee,2014,6.6
Texas,2014,5.1
Utah,2014,3.8
Vermont,2014,3.9
Virginia,2014,5.2
Washington,2014,6.1
West Virginia,2014,6.6
Wisconsin,2014,5.4
Wyoming,2014,4.1
Alabama,2015,6.1
Alaska,2015,6.5
Arizona,2015,6.1
Arkansas,2015,5
California,2015,6.2
Colorado,2015,3.9
Connecticut,2015,5.7
Delaware,2015,4.9
Florida,2015,5.5
Georgia,2015,6
Hawaii,2015,3.6
Idaho,2015,4.1
Illinois,2015,6
Indiana,2015,4.8
Iowa,2015,3.8
Kansas,2015,4.2
Kentucky,2015,5.3
Louisiana,2015,6.3
Maine,2015,4.4
Maryland,2015,5.1
Massachusetts,2015,4.8
Michigan,2015,5.4
Minnesota,2015,3.7
Mississippi,2015,6.4
Missouri,2015,5
Montana,2015,4.2
Nebraska,2015,3
Nevada,2015,6.7
New Hampshire,2015,3.4
New Jersey,2015,5.8
New Mexico,2015,6.5
New York,2015,5.3
North Carolina,2015,5.7
North Dakota,2015,2.8
Ohio,2015,4.9
Oklahoma,2015,4.4
Oregon,2015,5.6
Pennsylvania,2015,5.3
Rhode Island,2015,6
South Carolina,2015,6
South Dakota,2015,3.1
Tennessee,2015,5.6
Texas,2015,4.4
Utah,2015,3.6
Vermont,2015,3.6
Virginia,2015,4.5
Washington,2015,5.6
West Virginia,2015,6.7
Wisconsin,2015,4.5
Wyoming,2015,4.3
Alabama,2016,5.8
Alaska,2016,6.9
Arizona,2016,5.4
Arkansas,2016,4
California,2016,5.5
Colorado,2016,3.3
Connecticut,2016,5.1
Delaware,2016,4.5
Florida,2016,4.8
Georgia,2016,5.4
Hawaii,2016,3
Idaho,2016,3.8
Illinois,2016,5.8
Indiana,2016,4.4
Iowa,2016,3.6
Kansas,2016,4
Kentucky,2016,5.1
Louisiana,2016,6.1
Maine,2016,3.8
Maryland,2016,4.5
Massachusetts,2016,3.9
Michigan,2016,5
Minnesota,2016,3.9
Mississippi,2016,5.8
Missouri,2016,4.6
Montana,2016,4.1
Nebraska,2016,3.1
Nevada,2016,5.7
New Hampshire,2016,2.9
New Jersey,2016,5
New Mexico,2016,6.6
New York,2016,4.9
North Carolina,2016,5.1
North Dakota,2016,3.1
Ohio,2016,5
Oklahoma,2016,4.8
Oregon,2016,4.8
Pennsylvania,2016,5.4
Rhode Island,2016,5.2
South Carolina,2016,5
South Dakota,2016,3
Tennessee,2016,4.7
Texas,2016,4.6
Utah,2016,3.4
Vermont,2016,3.2
Virginia,2016,4.1
Washington,2016,5.3
West Virginia,2016,6.1
Wisconsin,2016,4
Wyoming,2016,5.3
Alabama,2017,4.4
Alaska,2017,6.9
Arizona,2017,4.9
Arkansas,2017,3.7
California,2017,4.8
Colorado,2017,2.8
Connecticut,2017,4.7
Delaware,2017,4.5
Florida,2017,4.2
Georgia,2017,4.7
Hawaii,2017,2.4
Idaho,2017,3.2
Illinois,2017,4.9
Indiana,2017,3.6
Iowa,2017,3.1
Kansas,2017,3.6
Kentucky,2017,4.9
Louisiana,2017,5.1
Maine,2017,3.4
Maryland,2017,4.2
Massachusetts,2017,3.7
Michigan,2017,4.6
Minnesota,2017,3.4
Mississippi,2017,5.1
Missouri,2017,3.7
Montana,2017,3.9
Nebraska,2017,2.9
Nevada,2017,5
New Hampshire,2017,2.7
New Jersey,2017,4.6
New Mexico,2017,5.9
New York,2017,4.7
North Carolina,2017,4.5
North Dakota,2017,2.7
Ohio,2017,5
Oklahoma,2017,4.2
Oregon,2017,4.1
Pennsylvania,2017,4.9
Rhode Island,2017,4.4
South Carolina,2017,4.3
South Dakota,2017,3.2
Tennessee,2017,3.8
Texas,2017,4.3
Utah,2017,3.3
Vermont,2017,2.9
Virginia,2017,3.7
Washington,2017,4.7
West Virginia,2017,5.2
Wisconsin,2017,3.3
Wyoming,2017,4.2
Alabama,2018,3.9
Alaska,2018,6.5
Arizona,2018,4.7
Arkansas,2018,3.6
California,2018,4.3
Colorado,2018,3.2
Connecticut,2018,4.1
Delaware,2018,3.8
Florida,2018,3.6
Georgia,2018,3.9
Hawaii,2018,2.5
Idaho,2018,2.9
Illinois,2018,4.3
Indiana,2018,3.5
Iowa,2018,2.6
Kansas,2018,3.3
Kentucky,2018,4.3
Louisiana,2018,4.9
Maine,2018,3.2
Maryland,2018,3.9
Massachusetts,2018,3.4
Michigan,2018,4.1
Minnesota,2018,2.9
Mississippi,2018,4.8
Missouri,2018,3.2
Montana,2018,3.6
Nebraska,2018,2.9
Nevada,2018,4.4
New Hampshire,2018,2.6
New Jersey,2018,4.1
New Mexico,2018,4.9
New York,2018,4.1
North Carolina,2018,4
North Dakota,2018,2.6
Ohio,2018,4.5
Oklahoma,2018,3.4
Oregon,2018,4.1
Pennsylvania,2018,4.2
Rhode Island,2018,4
South Carolina,2018,3.5
South Dakota,2018,3.1
Tennessee,2018,3.5
Texas,2018,3.8
Utah,2018,3
Vermont,2018,2.5
Virginia,2018,3
Washington,2018,4.5
West Virginia,2018,5.2
Wisconsin,2018,3
Wyoming,2018,3.9
Alabama,2019,3
Alaska,2019,6.1
Arizona,2019,4.7
Arkansas,2019,3.5
California,2019,4
Colorado,2019,2.8
Connecticut,2019,3.7
Delaware,2019,3.8
Florida,2019,3.1
Georgia,2019,3.4
Hawaii,2019,2.7
Idaho,2019,2.9
Illinois,2019,4
Indiana,2019,3.3
Iowa,2019,2.7
Kansas,2019,3.2
Kentucky,2019,4.3
Louisiana,2019,4.8
Maine,2019,3
Maryland,2019,3.6
Massachusetts,2019,2.9
Michigan,2019,4.1
Minnesota,2019,3.2
Mississippi,2019,5.4
Missouri,2019,3.3
Montana,2019,3.5
Nebraska,2019,3
Nevada,2019,3.9
New Hampshire,2019,2.5
New Jersey,2019,3.6
New Mexico,2019,4.9
New York,2019,4
North Carolina,2019,3.9
North Dakota,2019,2.4
Ohio,2019,4.1
Oklahoma,2019,3.3
Oregon,2019,3.7
Pennsylvania,2019,4.4
Rhode Island,2019,3.6
South Carolina,2019,2.8
South Dakota,2019,3.3
Tennessee,2019,3.4
Texas,2019,3.5
Utah,2019,2.6
Vermont,2019,2.4
Virginia,2019,2.8
Washington,2019,4.3
West Virginia,2019,4.9
Wisconsin,2019,3.3
Wyoming,2019,3.6
