State,Year,UnemploymentRates
Alabama,2020,6.6
Alaska,2020,7.2
Arizona,2020,6.7
Arkansas,2020,7.3
California,2020,11
Colorado,2020,6.4
Connecticut,2020,7.8
Delaware,2020,8.2
Florida,2020,7.6
Georgia,2020,6.4
Hawaii,2020,15.1
Idaho,2020,6.1
Illinois,2020,10.2
Indiana,2020,6.2
Iowa,2020,4.7
Kansas,2020,5.9
Kentucky,2020,5.6
Louisiana,2020,8.1
Maine,2020,6.1
Maryland,2020,7.2
Massachusetts,2020,9.6
Michigan,2020,8.5
Minnesota,2020,6
Mississippi,2020,7.1
Missouri,2020,4.9
Montana,2020,5.3
Nebraska,2020,3.5
Nevada,2020,12.6
New Hampshire,2020,6
New Jersey,2020,6.7
New Mexico,2020,9.4
New York,2020,9.7
North Carolina,2020,7.3
North Dakota,2020,4.4
Ohio,2020,8.4
Oklahoma,2020,5.3
Oregon,2020,8
Pennsylvania,2020,8.1
Rhode Island,2020,10.5
South Carolina,2020,5.1
South Dakota,2020,4.1
Tennessee,2020,6.3
Texas,2020,8.3
Utah,2020,5
Vermont,2020,4.2
Virginia,2020,6.2
Washington,2020,7.8
West Virginia,2020,8.6
Wisconsin,2020,5.4
Wyoming,2020,6.1
