Code,County Name/State Abbreviation,Period,LaborForce,Employed,Unemployed,UnemploymentRate
1001,"Autauga County, AL",2020,"25,912     ","25,125     ",787     ,3.0     
1003,"Baldwin County, AL",2020,"95,316     ","92,389     ","2,927     ",3.1     
1005,"Barbour County, AL",2020,"8,509     ","8,186     ",323     ,3.8     
1007,"Bibb County, AL",2020,"8,629     ","8,342     ",287     ,3.3     
1009,"Blount County, AL",2020,"25,098     ","24,352     ",746     ,3.0     
1011,"Bullock County, AL",2020,"4,674     ","4,480     ",194     ,4.2     
1013,"Butler County, AL",2020,"9,155     ","8,772     ",383     ,4.2     
1015,"Calhoun County, AL",2020,"46,059     ","44,315     ","1,744     ",3.8     
1017,"Chambers County, AL",2020,"15,698     ","15,187     ",511     ,3.3     
1019,"Cherokee County, AL",2020,"11,373     ","10,991     ",382     ,3.4     
1021,"Chilton County, AL",2020,"19,591     ","19,032     ",559     ,2.9     
1023,"Choctaw County, AL",2020,"4,511     ","4,269     ",242     ,5.4     
1025,"Clarke County, AL",2020,"7,406     ","6,947     ",459     ,6.2     
1027,"Clay County, AL",2020,"6,065     ","5,867     ",198     ,3.3     
1029,"Cleburne County, AL",2020,"5,682     ","5,490     ",192     ,3.4     
1031,"Coffee County, AL",2020,"21,004     ","20,349     ",655     ,3.1     
1033,"Colbert County, AL",2020,"23,275     ","22,298     ",977     ,4.2     
1035,"Conecuh County, AL",2020,"4,440     ","4,248     ",192     ,4.3     
1037,"Coosa County, AL",2020,"4,452     ","4,297     ",155     ,3.5     
1039,"Covington County, AL",2020,"15,313     ","14,758     ",555     ,3.6     
1041,"Crenshaw County, AL",2020,"6,257     ","6,040     ",217     ,3.5     
1043,"Cullman County, AL",2020,"38,433     ","37,341     ","1,092     ",2.8     
1045,"Dale County, AL",2020,"20,496     ","19,837     ",659     ,3.2     
1047,"Dallas County, AL",2020,"14,490     ","13,687     ",803     ,5.5     
1049,"DeKalb County, AL",2020,"30,600     ","29,625     ",975     ,3.2     
1051,"Elmore County, AL",2020,"37,258     ","36,157     ","1,101     ",3.0     
1053,"Escambia County, AL",2020,"14,629     ","14,071     ",558     ,3.8     
1055,"Etowah County, AL",2020,"42,809     ","41,025     ","1,784     ",4.2     
1057,"Fayette County, AL",2020,"6,517     ","6,290     ",227     ,3.5     
1059,"Franklin County, AL",2020,"14,531     ","14,077     ",454     ,3.1     
1061,"Geneva County, AL",2020,"10,869     ","10,522     ",347     ,3.2     
1063,"Greene County, AL",2020,"2,848     ","2,681     ",167     ,5.9     
1065,"Hale County, AL",2020,"6,055     ","5,792     ",263     ,4.3     
1067,"Henry County, AL",2020,"6,878     ","6,619     ",259     ,3.8     
1069,"Houston County, AL",2020,"46,058     ","44,592     ","1,466     ",3.2     
1071,"Jackson County, AL",2020,"23,006     ","22,148     ",858     ,3.7     
1073,"Jefferson County, AL",2020,"317,192     ","307,572     ","9,620     ",3.0     
1075,"Lamar County, AL",2020,"5,796     ","5,603     ",193     ,3.3     
1077,"Lauderdale County, AL",2020,"41,767     ","40,315     ","1,452     ",3.5     
1079,"Lawrence County, AL",2020,"14,238     ","13,762     ",476     ,3.3     
1081,"Lee County, AL",2020,"76,569     ","74,372     ","2,197     ",2.9     
1083,"Limestone County, AL",2020,"43,891     ","42,673     ","1,218     ",2.8     
1085,"Lowndes County, AL",2020,"3,523     ","3,325     ",198     ,5.6     
1087,"Macon County, AL",2020,"7,761     ","7,427     ",334     ,4.3     
1089,"Madison County, AL",2020,"185,774     ","180,806     ","4,968     ",2.7     
1091,"Marengo County, AL",2020,"7,580     ","7,278     ",302     ,4.0     
1093,"Marion County, AL",2020,"12,661     ","12,163     ",498     ,3.9     
1095,"Marshall County, AL",2020,"43,607     ","42,436     ","1,171     ",2.7     
1097,"Mobile County, AL",2020,"188,015     ","180,522     ","7,493     ",4.0     
1099,"Monroe County, AL",2020,"7,392     ","6,993     ",399     ,5.4     
1101,"Montgomery County, AL",2020,"104,878     ","101,390     ","3,488     ",3.3     
1103,"Morgan County, AL",2020,"58,214     ","56,599     ","1,615     ",2.8     
1105,"Perry County, AL",2020,"3,329     ","3,155     ",174     ,5.2     
1107,"Pickens County, AL",2020,"7,902     ","7,616     ",286     ,3.6     
1109,"Pike County, AL",2020,"15,361     ","14,824     ",537     ,3.5     
1111,"Randolph County, AL",2020,"9,530     ","9,216     ",314     ,3.3     
1113,"Russell County, AL",2020,"23,690     ","22,940     ",750     ,3.2     
1115,"St. Clair County, AL",2020,"40,279     ","39,119     ","1,160     ",2.9     
1117,"Shelby County, AL",2020,"115,350     ","112,620     ","2,730     ",2.4     
1119,"Sumter County, AL",2020,"4,709     ","4,504     ",205     ,4.4     
1121,"Talladega County, AL",2020,"35,396     ","34,082     ","1,314     ",3.7     
1123,"Tallapoosa County, AL",2020,"18,248     ","17,625     ",623     ,3.4     
1125,"Tuscaloosa County, AL",2020,"105,582     ","102,633     ","2,949     ",2.8     
1127,"Walker County, AL",2020,"25,271     ","24,297     ",974     ,3.9     
1129,"Washington County, AL",2020,"6,737     ","6,402     ",335     ,5.0     
1131,"Wilcox County, AL",2020,"2,758     ","2,512     ",246     ,8.9     
1133,"Winston County, AL",2020,"10,008     ","9,631     ",377     ,3.8     
2013,"Aleutians East Borough, AK",2020,"1,810     ","1,734     ",76     ,4.2     
2016,"Aleutians West Census Area, AK",2020,"3,963     ","3,830     ",133     ,3.4     
2020,"Anchorage Borough/municipality, AK",2020,"144,538     ","137,112     ","7,426     ",5.1     
2050,"Bethel Census Area, AK",2020,"6,866     ","5,990     ",876     ,12.8     
2060,"Bristol Bay Borough, AK",2020,243     ,209     ,34     ,14.0     
2068,"Denali Borough, AK",2020,547     ,439     ,108     ,19.7     
2070,"Dillingham Census Area, AK",2020,"1,765     ","1,611     ",154     ,8.7     
2090,"Fairbanks North Star Borough, AK",2020,"43,217     ","40,674     ","2,543     ",5.9     
2100,"Haines Borough, AK",2020,889     ,747     ,142     ,16.0     
2105,"Hoonah-Angoon Census Area, AK",2020,"1,046     ",878     ,168     ,16.1     
2110,"Juneau Borough/city, AK",2020,"16,310     ","15,541     ",769     ,4.7     
2122,"Kenai Peninsula Borough, AK",2020,"25,758     ","23,758     ","2,000     ",7.8     
2130,"Ketchikan Gateway Borough, AK",2020,"6,322     ","5,826     ",496     ,7.8     
2150,"Kodiak Island Borough, AK",2020,"5,744     ","5,306     ",438     ,7.6     
2158,"Kusilvak Census Area, AK",2020,"2,642     ","2,156     ",486     ,18.4     
2164,"Lake and Peninsula Borough, AK",2020,606     ,539     ,67     ,11.1     
2170,"Matanuska-Susitna Borough, AK",2020,"46,577     ","43,126     ","3,451     ",7.4     
2180,"Nome Census Area, AK",2020,"4,137     ","3,717     ",420     ,10.2     
2185,"North Slope Borough, AK",2020,"3,592     ","3,380     ",212     ,5.9     
2188,"Northwest Arctic Borough, AK",2020,"2,828     ","2,447     ",381     ,13.5     
2195,"Petersburg Borough, AK",2020,"1,615     ","1,466     ",149     ,9.2     
2198,"Prince of Wales-Hyder Census Area, AK",2020,"3,004     ","2,722     ",282     ,9.4     
2220,"Sitka Borough/city, AK",2020,"4,111     ","3,910     ",201     ,4.9     
2230,"Skagway Municipality, AK",2020,597     ,477     ,120     ,20.1     
2240,"Southeast Fairbanks Census Area, AK",2020,"2,814     ","2,537     ",277     ,9.8     
2261,"Valdez-Cordova Census Area, AK",2020,"4,242     ","3,787     ",455     ,10.7     
2275,"Wrangell Borough/city, AK",2020,"1,036     ",953     ,83     ,8.0     
2282,"Yakutat Borough/city, AK",2020,261     ,230     ,31     ,11.9     
2290,"Yukon-Koyukuk Census Area, AK",2020,"2,362     ","2,037     ",325     ,13.8     
4001,"Apache County, AZ",2020,"20,785     ","18,490     ","2,295     ",11.0     
4003,"Cochise County, AZ",2020,"51,901     ","48,897     ","3,004     ",5.8     
4005,"Coconino County, AZ",2020,"77,687     ","72,788     ","4,899     ",6.3     
4007,"Gila County, AZ",2020,"21,565     ","20,325     ","1,240     ",5.8     
4009,"Graham County, AZ",2020,"15,417     ","14,640     ",777     ,5.0     
4011,"Greenlee County, AZ",2020,"4,585     ","4,413     ",172     ,3.8     
4012,"La Paz County, AZ",2020,"9,751     ","9,168     ",583     ,6.0     
4013,"Maricopa County, AZ",2020,"2,360,096     ","2,266,177     ","93,919     ",4.0     
4015,"Mohave County, AZ",2020,"89,027     ","83,775     ","5,252     ",5.9     
4017,"Navajo County, AZ",2020,"40,989     ","37,667     ","3,322     ",8.1     
4019,"Pima County, AZ",2020,"504,206     ","481,622     ","22,584     ",4.5     
4021,"Pinal County, AZ",2020,"192,010     ","182,584     ","9,426     ",4.9     
4023,"Santa Cruz County, AZ",2020,"20,067     ","18,466     ","1,601     ",8.0     
4025,"Yavapai County, AZ",2020,"107,379     ","102,552     ","4,827     ",4.5     
4027,"Yuma County, AZ",2020,"100,806     ","87,020     ","13,786     ",13.7     
5001,"Arkansas County, AR",2020,"9,260     ","8,924     ",336     ,3.6     
5003,"Ashley County, AR",2020,"7,675     ","7,131     ",544     ,7.1     
5005,"Baxter County, AR",2020,"16,005     ","15,255     ",750     ,4.7     
5007,"Benton County, AR",2020,"137,257     ","133,215     ","4,042     ",2.9     
5009,"Boone County, AR",2020,"15,882     ","15,266     ",616     ,3.9     
5011,"Bradley County, AR",2020,"4,491     ","4,284     ",207     ,4.6     
5013,"Calhoun County, AR",2020,"2,436     ","2,312     ",124     ,5.1     
5015,"Carroll County, AR",2020,"12,291     ","11,744     ",547     ,4.5     
5017,"Chicot County, AR",2020,"3,244     ","2,959     ",285     ,8.8     
5019,"Clark County, AR",2020,"9,520     ","9,124     ",396     ,4.2     
5021,"Clay County, AR",2020,"5,581     ","5,247     ",334     ,6.0     
5023,"Cleburne County, AR",2020,"8,993     ","8,478     ",515     ,5.7     
5025,"Cleveland County, AR",2020,"3,179     ","3,015     ",164     ,5.2     
5027,"Columbia County, AR",2020,"9,109     ","8,658     ",451     ,5.0     
5029,"Conway County, AR",2020,"8,256     ","7,846     ",410     ,5.0     
5031,"Craighead County, AR",2020,"55,856     ","54,045     ","1,811     ",3.2     
5033,"Crawford County, AR",2020,"26,619     ","25,597     ","1,022     ",3.8     
5035,"Crittenden County, AR",2020,"21,248     ","20,242     ","1,006     ",4.7     
5037,"Cross County, AR",2020,"7,326     ","6,968     ",358     ,4.9     
5039,"Dallas County, AR",2020,"2,815     ","2,675     ",140     ,5.0     
5041,"Desha County, AR",2020,"5,309     ","5,028     ",281     ,5.3     
5043,"Drew County, AR",2020,"7,883     ","7,402     ",481     ,6.1     
5045,"Faulkner County, AR",2020,"61,559     ","59,407     ","2,152     ",3.5     
5047,"Franklin County, AR",2020,"7,394     ","7,108     ",286     ,3.9     
5049,"Fulton County, AR",2020,"4,918     ","4,697     ",221     ,4.5     
5051,"Garland County, AR",2020,"40,802     ","39,115     ","1,687     ",4.1     
5053,"Grant County, AR",2020,"8,319     ","7,996     ",323     ,3.9     
5055,"Greene County, AR",2020,"20,018     ","19,194     ",824     ,4.1     
5057,"Hempstead County, AR",2020,"9,816     ","9,376     ",440     ,4.5     
5059,"Hot Spring County, AR",2020,"13,840     ","13,294     ",546     ,3.9     
5061,"Howard County, AR",2020,"5,726     ","5,493     ",233     ,4.1     
5063,"Independence County, AR",2020,"16,491     ","15,736     ",755     ,4.6     
5065,"Izard County, AR",2020,"4,787     ","4,474     ",313     ,6.5     
5067,"Jackson County, AR",2020,"5,813     ","5,380     ",433     ,7.4     
5069,"Jefferson County, AR",2020,"27,208     ","25,509     ","1,699     ",6.2     
5071,"Johnson County, AR",2020,"10,172     ","9,681     ",491     ,4.8     
5073,"Lafayette County, AR",2020,"2,452     ","2,318     ",134     ,5.5     
5075,"Lawrence County, AR",2020,"6,834     ","6,510     ",324     ,4.7     
5077,"Lee County, AR",2020,"2,845     ","2,664     ",181     ,6.4     
5079,"Lincoln County, AR",2020,"3,897     ","3,683     ",214     ,5.5     
5081,"Little River County, AR",2020,"5,528     ","5,254     ",274     ,5.0     
5083,"Logan County, AR",2020,"8,487     ","8,034     ",453     ,5.3     
5085,"Lonoke County, AR",2020,"33,986     ","32,760     ","1,226     ",3.6     
5087,"Madison County, AR",2020,"7,432     ","7,223     ",209     ,2.8     
5089,"Marion County, AR",2020,"6,596     ","6,274     ",322     ,4.9     
5091,"Miller County, AR",2020,"19,707     ","18,830     ",877     ,4.5     
5093,"Mississippi County, AR",2020,"17,055     ","16,062     ",993     ,5.8     
5095,"Monroe County, AR",2020,"2,768     ","2,630     ",138     ,5.0     
5097,"Montgomery County, AR",2020,"2,877     ","2,701     ",176     ,6.1     
5099,"Nevada County, AR",2020,"3,588     ","3,440     ",148     ,4.1     
5101,"Newton County, AR",2020,"3,326     ","3,165     ",161     ,4.8     
5103,"Ouachita County, AR",2020,"9,739     ","9,181     ",558     ,5.7     
5105,"Perry County, AR",2020,"4,227     ","4,024     ",203     ,4.8     
5107,"Phillips County, AR",2020,"6,335     ","5,868     ",467     ,7.4     
5109,"Pike County, AR",2020,"4,209     ","4,010     ",199     ,4.7     
5111,"Poinsett County, AR",2020,"10,379     ","9,929     ",450     ,4.3     
5113,"Polk County, AR",2020,"8,152     ","7,667     ",485     ,5.9     
5115,"Pope County, AR",2020,"28,533     ","27,127     ","1,406     ",4.9     
5117,"Prairie County, AR",2020,"3,537     ","3,383     ",154     ,4.4     
5119,"Pulaski County, AR",2020,"187,545     ","180,280     ","7,265     ",3.9     
5121,"Randolph County, AR",2020,"7,356     ","7,006     ",350     ,4.8     
5123,"St. Francis County, AR",2020,"8,076     ","7,611     ",465     ,5.8     
5125,"Saline County, AR",2020,"58,243     ","56,352     ","1,891     ",3.2     
5127,"Scott County, AR",2020,"4,301     ","4,129     ",172     ,4.0     
5129,"Searcy County, AR",2020,"2,794     ","2,618     ",176     ,6.3     
5131,"Sebastian County, AR",2020,"56,107     ","53,894     ","2,213     ",3.9     
5133,"Sevier County, AR",2020,"5,479     ","5,174     ",305     ,5.6     
5135,"Sharp County, AR",2020,"5,666     ","5,325     ",341     ,6.0     
5137,"Stone County, AR",2020,"4,556     ","4,284     ",272     ,6.0     
5139,"Union County, AR",2020,"15,801     ","14,781     ","1,020     ",6.5     
5141,"Van Buren County, AR",2020,"5,652     ","5,311     ",341     ,6.0     
5143,"Washington County, AR",2020,"124,899     ","121,521     ","3,378     ",2.7     
5145,"White County, AR",2020,"33,578     ","31,757     ","1,821     ",5.4     
5147,"Woodruff County, AR",2020,"2,749     ","2,584     ",165     ,6.0     
5149,"Yell County, AR",2020,"8,320     ","7,956     ",364     ,4.4     
6001,"Alameda County, CA",2020,"841,256     ","815,549     ","25,707     ",3.1     
6003,"Alpine County, CA",2020,652     ,622     ,30     ,4.6     
6005,"Amador County, CA",2020,"14,858     ","14,158     ",700     ,4.7     
6007,"Butte County, CA",2020,"97,828     ","92,380     ","5,448     ",5.6     
6009,"Calaveras County, CA",2020,"21,564     ","20,634     ",930     ,4.3     
6011,"Colusa County, CA",2020,"10,872     ","8,786     ","2,086     ",19.2     
6013,"Contra Costa County, CA",2020,"559,573     ","541,551     ","18,022     ",3.2     
6015,"Del Norte County, CA",2020,"9,637     ","9,007     ",630     ,6.5     
6017,"El Dorado County, CA",2020,"92,211     ","88,755     ","3,456     ",3.7     
6019,"Fresno County, CA",2020,"452,463     ","415,814     ","36,649     ",8.1     
6021,"Glenn County, CA",2020,"13,224     ","12,256     ",968     ,7.3     
6023,"Humboldt County, CA",2020,"61,835     ","59,314     ","2,521     ",4.1     
6025,"Imperial County, CA",2020,"72,432     ","59,415     ","13,017     ",18.0     
6027,"Inyo County, CA",2020,"8,703     ","8,364     ",339     ,3.9     
6029,"Kern County, CA",2020,"396,113     ","362,164     ","33,949     ",8.6     
6031,"Kings County, CA",2020,"58,130     ","52,666     ","5,464     ",9.4     
6033,"Lake County, CA",2020,"29,119     ","27,369     ","1,750     ",6.0     
6035,"Lassen County, CA",2020,"9,890     ","9,333     ",557     ,5.6     
6037,"Los Angeles County, CA",2020,"5,189,152     ","4,956,929     ","232,223     ",4.5     
6039,"Madera County, CA",2020,"63,353     ","58,229     ","5,124     ",8.1     
