Industry,Year,Number of unemployed persons (in thousands),Unemployment rates
Nonagricultural private wage and salary workers,2016,"5,824",4.6
"Mining, quarrying, and oil and gas extraction",2016,67,8.0
Construction,2016,558,6.3
Manufacturing,2016,667,4.3
Durable goods,2016,412,4.2
Nondurable goods,2016,255,4.4
Wholesale and retail trade,2016,"1,009",5.0
Transportation and utilities,2016,278,4.2
Information,2016,123,4.6
Financial activities,2016,266,2.7
Professional and business services,2016,842,5.1
Education and health services,2016,772,3.3
Leisure and hospitality,2016,949,6.8
Other services,2016,293,4.4
Agriculture and related private wage and salary workers,2016,139,8.3
Government workers,2016,582,2.7
"Self-employed workers, unincorporated, and unpaid family workers",2016,383,3.8
Nonagricultural private wage and salary workers,2017,"5,323",4.2
"Mining, quarrying, and oil and gas extraction",2017,31,4.1
Construction,2017,559,6.0
Manufacturing,2017,563,3.6
Durable goods,2017,360,3.7
Nondurable goods,2017,203,3.5
Wholesale and retail trade,2017,942,4.6
Transportation and utilities,2017,271,4.1
Information,2017,120,4.5
Financial activities,2017,240,2.4
Professional and business services,2017,775,4.5
Education and health services,2017,714,3.0
Leisure and hospitality,2017,856,6.1
Other services,2017,251,3.8
Agriculture and related private wage and salary workers,2017,122,7.2
Government workers,2017,527,2.5
"Self-employed workers, unincorporated, and unpaid family workers",2017,319,3.2
Nonagricultural private wage and salary workers,2018,"4,798",3.7
"Mining, quarrying, and oil and gas extraction",2018,27,3.4
Construction,2018,494,5.1
Manufacturing,2018,517,3.3
Durable goods,2018,295,3.0
Nondurable goods,2018,222,3.8
Wholesale and retail trade,2018,881,4.3
Transportation and utilities,2018,236,3.4
Information,2018,99,3.7
Financial activities,2018,215,2.2
Professional and business services,2018,671,3.9
Education and health services,2018,638,2.6
Leisure and hospitality,2018,791,5.7
Other services,2018,229,3.3
Agriculture and related private wage and salary workers,2018,124,7.2
Government workers,2018,505,2.3
"Self-employed workers, unincorporated, and unpaid family workers",2018,285,2.8
Nonagricultural private wage and salary workers,2019,"4,099",3.2
"Mining, quarrying, and oil and gas extraction",2019,13,1.7
Construction,2019,319,3.2
Manufacturing,2019,530,3.4
Durable goods,2019,266,2.7
Nondurable goods,2019,263,4.5
Wholesale and retail trade,2019,666,3.4
Transportation and utilities,2019,235,3.2
Information,2019,109,4.4
Financial activities,2019,192,1.9
Professional and business services,2019,585,3.2
Education and health services,2019,557,2.2
Leisure and hospitality,2019,678,4.8
Other services,2019,215,3.2
Agriculture and related private wage and salary workers,2019,68,4
Government workers,2019,389,1.8
"Self-employed workers, unincorporated, and unpaid family workers",2019,259,2.6
Nonagricultural private wage and salary workers,2020,"10,098",8
"Mining, quarrying, and oil and gas extraction",2020,108,14.9
Construction,2020,700,7.1
Manufacturing,2020,935,6.2
Durable goods,2020,531,5.7
Nondurable goods,2020,404,7.1
Wholesale and retail trade,2020,"1,545",7.8
Transportation and utilities,2020,753,9.8
Information,2020,202,8.6
Financial activities,2020,442,4.4
Professional and business services,2020,"1,161",6.7
Education and health services,2020,"1,250",5.1
Leisure and hospitality,2020,"2,436",19
Other services,2020,566,9.2
Agriculture and related private wage and salary workers,2020,76,5
Government workers,2020,884,4.1
"Self-employed workers, unincorporated, and unpaid family workers",2020,688,6.7
